country_mapped,region,year,rank,score,gdp_pc,family,health,freedom,trust,generosity,dystopia
Afghanistan,Southern Asia,2015,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,1.9521
Afghanistan,Southern Asia,2016,154,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558
Afghanistan,Southern Asia,2017,141,3.79399991035461,0.401477217674255,0.581543326377869,0.180746778845787,0.106179520487785,0.0611578300595284,0.311870932579041,2.15080118179321
Afghanistan,Southern Asia,2018,145,3.632,0.332,0.537,0.255,0.085,0.036,0.191,
Afghanistan,Southern Asia,2019,154,3.203,0.35,0.517,0.361,0.0,0.025,0.158,
Albania,Central and Eastern Europe,2015,95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894
Albania,Central and Eastern Europe,2016,109,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816
Albania,Central and Eastern Europe,2017,109,4.64400005340576,0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,0.0398642159998417,0.201312944293022,1.49044156074524
Albania,Central and Eastern Europe,2018,112,4.586,0.916,0.817,0.79,0.419,0.032,0.149,
Albania,Central and Eastern Europe,2019,107,4.719,0.947,0.848,0.874,0.383,0.027,0.178,
Algeria,Middle East and Northern Africa,2015,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209
Algeria,Middle East and Northern Africa,2016,38,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904
Algeria,Middle East and Northern Africa,2017,53,5.87200021743774,1.09186446666718,1.1462174654007,0.617584645748138,0.233335807919502,0.146096110343933,0.0694366469979286,2.56760382652283
Algeria,Middle East and Northern Africa,2018,84,5.295,0.979,1.154,0.687,0.077,0.135,0.055,
Algeria,Middle East and Northern Africa,2019,88,5.211,1.002,1.16,0.785,0.086,0.114,0.073,
Angola,Sub-Saharan Africa,2015,137,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,1.94939
Angola,Sub-Saharan Africa,2016,141,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459
Angola,Sub-Saharan Africa,2017,140,3.79500007629395,0.858428180217743,1.10441195964813,0.0498686656355858,0.0,0.0697203353047371,0.097926490008831,1.61448240280151
Angola,Sub-Saharan Africa,2018,142,3.795,0.73,1.125,0.269,0.0,0.061,0.079,
Argentina,Latin America and Caribbean,2015,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836
Argentina,Latin America and Caribbean,2016,26,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985
Argentina,Latin America and Caribbean,2017,24,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,0.059739887714386,0.109457060694695,2.61400532722473
Argentina,Latin America and Caribbean,2018,29,6.388,1.073,1.468,0.744,0.57,0.054,0.062,
Argentina,Latin America and Caribbean,2019,47,6.086,1.092,1.432,0.881,0.471,0.05,0.066,
Armenia,Central and Eastern Europe,2015,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,Central and Eastern Europe,2016,121,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864
Armenia,Central and Eastern Europe,2017,121,4.37599992752075,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0266744215041399,0.0834880918264389,1.5214991569519
Armenia,Central and Eastern Europe,2018,129,4.321,0.816,0.99,0.666,0.26,0.028,0.077,
Armenia,Central and Eastern Europe,2019,116,4.559,0.85,1.055,0.815,0.283,0.064,0.095,
Australia,Australia and New Zealand,2015,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646
Australia,Australia and New Zealand,2016,9,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465
Australia,Australia and New Zealand,2017,10,7.28399991989136,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.301183730363846,0.477699249982834,2.06521081924438
Australia,Australia and New Zealand,2018,10,7.272,1.34,1.573,0.91,0.647,0.302,0.361,
Australia,Australia and New Zealand,2019,11,7.228,1.372,1.548,1.036,0.557,0.29,0.332,
Austria,Western Europe,2015,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332
Austria,Western Europe,2016,12,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343
Austria,Western Europe,2017,13,7.00600004196167,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.221060365438461,0.316472321748734,2.1385064125061
Austria,Western Europe,2018,12,7.139,1.341,1.504,0.891,0.617,0.224,0.242,
Austria,Western Europe,2019,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244,
Azerbaijan,Central and Eastern Europe,2015,80,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2.00073
Azerbaijan,Central and Eastern Europe,2016,81,5.291,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.2735
Azerbaijan,Central and Eastern Europe,2017,85,5.23400020599365,1.15360176563263,1.15240025520325,0.540775775909424,0.398155838251114,0.180987507104874,0.0452693402767181,1.76248168945312
Azerbaijan,Central and Eastern Europe,2018,87,5.201,1.024,1.161,0.603,0.43,0.176,0.031,
Azerbaijan,Central and Eastern Europe,2019,90,5.208,1.043,1.147,0.769,0.351,0.182,0.035,
Bahrain,Middle East and Northern Africa,2015,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797
Bahrain,Middle East and Northern Africa,2016,42,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405
